Row	Column	Plane	Timepoint	Sequence	Group	Field	Channel ID	Channel Name	Channel Type	URL	ImageResolutionX [m]	ImageResolutionY [m]	ImageSizeX	ImageSizeY	PositionX [m]	PositionY [m]	Time Stamp	
1	4	1	1	1	1	4	2	DAPI	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/15-1316-213-145-8-112-41-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0	2024-05-23T18:22:22,643+02:00	
1	4	1	1	1	1	4	3	CellMask Deep Red	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/15-1316-213-145-8-112-40-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0	2024-05-23T18:22:22,862+02:00	
1	5	1	1	1	1	1	1	CellMask Green	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/10-1317-213-145-8-112-42-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0	2024-05-23T18:22:23,594+02:00	
1	5	1	1	1	1	1	2	DAPI	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/10-1317-213-145-8-112-41-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0	2024-05-23T18:22:23,915+02:00	
1	5	1	1	1	1	1	3	CellMask Deep Red	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/10-1317-213-145-8-112-40-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0	2024-05-23T18:22:24,134+02:00	
1	5	1	1	1	1	2	1	CellMask Green	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/9-1317-213-145-8-112-42-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0,000640846	2024-05-23T18:22:24,937+02:00	
1	5	1	1	1	1	2	2	DAPI	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/9-1317-213-145-8-112-41-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0,000640846	2024-05-23T18:22:25,255+02:00	
1	5	1	1	1	1	2	3	CellMask Deep Red	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/9-1317-213-145-8-112-40-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0,000640846	2024-05-23T18:22:25,474+02:00	
1	5	1	1	1	1	3	1	CellMask Green	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/8-1317-213-145-8-112-42-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0,000640846	2024-05-23T18:22:26,109+02:00	
1	5	1	1	1	1	3	2	DAPI	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/8-1317-213-145-8-112-41-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0,000640846	2024-05-23T18:22:26,426+02:00	
1	5	1	1	1	1	3	3	CellMask Deep Red	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/8-1317-213-145-8-112-40-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0,000640846	2024-05-23T18:22:26,645+02:00	
